FLYBY	DATE	ALTITUDE
Titan	2009 August 9, 14:04	970
(Equinox)	2009 August 11	0
Titan	2009 August 25, 12:52	970
Titan	2009 October 12, 08:36	1,300
Enceladus	2009 November 2, 07:42	99
Enceladus	2009 November 21, 02:10	1,603
Titan	2009 December 12, 01:03	4,850
Titan	2009 December 28, 00:17	955
Titan	2010 January 12, 23:11	1,073
Calypso	2010 February 13, 11:45	21,000
Mimas	2010 February 13	9,500
Rhea	2010 March 2, 17:41	101
Helene	2010 March 3, 13:41	1,823
Dione	2010 April 7, 05:16	503
Enceladus	2010 April 28, 00:11	99
Enceladus	2010 April 28, 00:11	198
Titan	2010 May 20	1,400
Titan	2010 June 5, 02:26	2,044
Titan	2010 June 21, 01:27	880
Titan	2010 July 7	1,005
Kiviuq	2010 July 15	0
Albiorix 	2010 July 31	0
Enceladus	2010 August 13	2,554
Enceladus	2010 November 30	48
Enceladus	2010 December 21, 01:08	48
Rhea	2011 January 11, 04:53	76
Titan	2011 February 18, 16:04	3,651
Telesto	2011 March 20	10,000
Titan	2011 May 8, 22:54	1,873
Helene	2011 June 18	6,900
Titan	2011 June 20	1,359
Hyperion	2011 August 25	25,000
Pallene	2011 September 14	26,000
Hyperion	2011 September 16	58,000
Enceladus	2011 October 1	99
Enceladus	2011 October 19	1,231
Enceladus	2011 November 6	496
Dione	2011 December 12, 09:39	99
Titan	2011 December 13	3,586
Titan	2012 February 19	3,803
Enceladus	2012 March 27	74
Enceladus	2012 April 14	74
Enceladus	2012 May 2	74
Telesto	2012 May 20	11,000
Methone	2012 May 20	1900
Methone	2012 May 21	1900
Titan	2012 May 22	955
Titan	2012 June 7	959
Titan	2012 July 24	1,012
Titan	2012 September 26, 14:36	956
Titan	2012 November 13, 10:22	973
Titan	2012 November 29, 08:57	1,014
Titan	2013 February 17, 01:57	1,978
Rhea	2013 March 9, 18:17	997
Titan	2013 April 5, 21:44	1,400
Titan	2013 May 23, 17:33	970
Titan	2013 July 10, 13:22	964
Titan	2013 July 26, 11:56	1,400
Titan	2013 September 12, 07:44	1,400
Titan	2013 October 14, 04:56	961
Titan	2013 December 1, 00:41	1,400
Titan	2014 January 1, 22:00	1,400
Titan	2014 February 2, 19:13	1,236
Titan	2014 March 6, 16:27	1,500
Titan	2014 April 7, 13:41	963
Titan	2014 May 17, 16:12	2,994
Titan	2014 June 18, 13:28	3,659
Titan	2014 August 21, 08:09	964
Titan	2014 September 22, 05:23	1,400
Titan	2014 October 24, 02:41	1,013
Titan	2014 December 10, 22:27	980
Titan	2015 February 12, 17:08	1,200
Titan	2015 February 12, 17:08	1,200
Titan	2015 March 16, 14:30	2,274
Titan	2015 May 7, 22:50	2,722
Hyperion	2015 May 31	34,000
Dione	2015 June 16, 20:12	516
Dione	2015 August 17, 18:33	474
Titan	2015 September 28, 21:37	1,036
Enceladus	2015 October 14, 10:42	1,839
Enceladus	2015 October 28, 15:23	49
Titan	2015 November 13	11,919
Epimetheus	2015 December 6	2,616
Prometheus	2015 December 6	21,000
Aegaeon	2015 December 19	2,556
Enceladus	2015 December 19, 17:49	5,000
Titan	2016 February 1, 01:01	1,400
Titan	2016 February 16, 23:52	1,018
Titan	2016 April 4, 19:48	990
Titan	2016 May 6, 17:01	971
Titan	2016 June 7, 14:13	975
Titan	2016 July 25, 10:05	976
Titan	2016 September 27, 04:23	1,736
Titan	2016 November 14, 00:02	1,582
Titan	2016 November 29	3,223
Pandora	2016 December 18	13,800
Daphnis	2017 January 16	17,800
Mimas	2017 January 30	41,230
Pan	2017 March 7	25,000
Atlas	2017 April 12	14,800
Titan	2017 April 22, 02:08	979
Rings	2017 April 26	0
Titan	2017 September 11, 12:04	119,049
EOM 	2017 September 15, 06:58	0
